Lyrics,Song
yeah,To Hell And Back
im leaving way came,To Hell And Back
looking forward cant see straight,To Hell And Back
like know im going,To Hell And Back
like fool,To Hell And Back
im right bitch,To Hell And Back
buried words liar,To Hell And Back
im alive im still breathing yeah,To Hell And Back
day becomes haunting,To Hell And Back
didnt say enough mistaken,To Hell And Back
mind plays,To Hell And Back
slow motion,To Hell And Back
moving faster moving faster,To Hell And Back
much,To Hell And Back
lets lose control,To Hell And Back
light match watch burn,To Hell And Back
struck,To Hell And Back
going far,To Hell And Back
going,To Hell And Back
lets give hell,To Hell And Back
ill bite bullet,To Hell And Back
save oh,To Hell And Back
oh ship quickly sinking,To Hell And Back
got ta take control got ta take control,To Hell And Back
moving faster,To Hell And Back
im looking past water far see,The Sound of Starting Over
mistakes ive made staring back,The Sound of Starting Over
im ending started im sinking sea,The Sound of Starting Over
couldnt come much sooner screaming back,The Sound of Starting Over
weve come close end,The Sound of Starting Over
pick back start,The Sound of Starting Over
without ill start,The Sound of Starting Over
believe,The Sound of Starting Over
youre never gon na take away long im around,The Sound of Starting Over
cant forget wont stop,The Sound of Starting Over
blood ill show,The Sound of Starting Over
know youll never hear long im around,The Sound of Starting Over
crawling bottom im digging way,The Sound of Starting Over
bridges im burning slowly crashing,The Sound of Starting Over
afraid started afraid going home,The Sound of Starting Over
never took chances would never know,The Sound of Starting Over
oh weve come close end,The Sound of Starting Over
wont fall gun,Undefeated
heroes failed,Undefeated
youll never show face coward,Undefeated
well never let win ever never,Undefeated
preach gospel,Undefeated
choke fortune glory,Undefeated
matter say ones lost way,Undefeated
fighting lives,Undefeated
enough say ones lost way,Undefeated
built ruins,Undefeated
loved destroyed,Undefeated
nows time youll forgotten,Undefeated
nows time time,Undefeated
forgotten walls crash around,Undefeated
could tell love,Could Tell A Love
well go,Could Tell A Love
big plans,Could Tell A Love
build fortress clouds,Could Tell A Love
made love,Could Tell A Love
heart blood,Could Tell A Love
well make,Could Tell A Love
stand weight world,Could Tell A Love
ive got,Could Tell A Love
ill make,Could Tell A Love
